Name;MinSpieler;MaxSpieler;Dauer;Genre;Ursprung;Anmerkungen;BGG-Link
Nebel über Carcassone;1;5;35;Koop;BSG;Ihr legt gemeinsam Plättchen und bekämpft Geister. Klassische Carcassonne-Mechanik trifft auf kooperatives Spiel. Planung und Zusammenarbeit sind entscheidend.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Nebel%20%C3%BCber%20Carcassone
Port Royal;2;5;20;Push-your-luck;BSG;Du deckst Karten auf und entscheidest, wann du stoppst. Zu viel Risiko führt zum Verlust der Runde. Das Spiel lebt von Spannung und schnellen Entscheidungen.;https://boardgamegeek.com/boardgame/156009/port-royal
Sagrada;1;4;45;Dice Placement;BSG;Du platzierst Würfel, um ein Fensterbild zu gestalten. Dabei gelten Farb- und Zahlenregeln. Das Spiel kombiniert Puzzle mit Planung.;https://boardgamegeek.com/boardgame/199561/sagrada
6 Nimmt Brettspiel;2;6;45;Familienspiel;BSG;Du legst Karten in Reihen und versuchst, möglichst wenig Minuspunkte zu sammeln. Timing und Einschätzung der Mitspieler sind entscheidend. Einfach zu lernen, schwer zu meistern.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=6%20Nimmt%20Brettspiel
New York Zoo;1;5;30;Polyomino;BSG;Du baust Gehege und füllst sie mit Tieren. Vollständige Bereiche bringen Vorteile. Das Spiel kombiniert Puzzle mit Engine-Elementen.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=New%20York%20Zoo
Café International;2;5;45;Familienspiel;SPENDE;Du platzierst Gäste aus verschiedenen Ländern an Tischen. Dabei musst du Regeln für Nationalitäten beachten. Ziel ist eine möglichst effiziente Sitzordnung.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Caf%C3%A9%20International
Malefiz;2;4;30;Familienspiel;SPENDE;Du bewegst deine Figuren Richtung Ziel und blockierst Gegner. Hindernisse verändern ständig den Weg. Das Spiel lebt von Interaktion.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Malefiz
Splendor Duell;2;2;30;Engine Building;BSG;Du sammelst Edelsteine und kaufst Karten für Boni. Verschiedene Siegbedingungen sorgen für Spannung. Das Spiel ist taktischer als das Original.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Splendor%20Duell
Animal Kingdoms;2;5;45;Area Control;BSG;Du platzierst Tiere in Regionen und kämpfst um Mehrheiten. Wertungen ändern sich im Spielverlauf. Planung und Timing sind entscheidend.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Animal%20Kingdoms
Agricola Kennerspiel;1;4;120;Worker Placement;BSG;Du baust einen Bauernhof auf und versorgst deine Familie. Ressourcenmanagement steht im Mittelpunkt. Das Spiel ist strategisch anspruchsvoll.;https://boardgamegeek.com/boardgame/31260/agricola
Azul;2;4;45;Abstract;BSG;Du nimmst Fliesen und platzierst sie für Punkte. Dabei musst du Strafpunkte vermeiden. Einfach, elegant und taktisch.;https://boardgamegeek.com/boardgame/230802/azul
Flügelschlag;1;5;60;Engine Building;BSG;Du spielst Vögel aus und baust eine Karten-Engine auf. Aktionen verstärken sich im Spielverlauf. Fokus liegt auf Synergien.;https://boardgamegeek.com/boardgame/266192/wingspan
Die Burgen von Burgund;2;4;90;Strategie;BSG;Du nutzt Würfel, um Plättchen zu platzieren. Jedes Gebiet bringt unterschiedliche Effekte. Klassiker mit hoher taktischer Tiefe.;https://boardgamegeek.com/boardgame/84876/castles-burgundy
6 nimmt Kartenspiel;2;4;45;Brettspiel;BSG;In 6 nimmt Kartenspiel stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=6%20nimmt%20Kartenspiel
Skull King;2;6;30;Stichspiel;BSG;Du sagst deine Stiche voraus und versuchst sie genau zu erfüllen. Spezialkarten bringen zusätzliche Spannung. Risiko und Timing sind entscheidend.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Skull%20King
Codenames;2;8;15;Party;BSG;Teams erraten Begriffe über Hinweise. Kommunikation und Interpretation sind entscheidend. Perfekt für Gruppen.;https://boardgamegeek.com/boardgame/178900/codenames
Splendor;2;4;30;Engine Building;BSG;Du sammelst Ressourcen und kaufst Karten für Boni. Mit jeder Runde wirst du effizienter. Ein klassisches Engine-Spiel.;https://boardgamegeek.com/boardgame/148228/splendor
Wizard Kartenspiel;3;6;45;Stichspiel;BSG;Du sagst voraus, wie viele Stiche du gewinnst. Spezialkarten verändern den Ablauf. Planung und Einschätzung sind wichtig.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Wizard%20Kartenspiel
Istanbul Big Box;2;5;50;Strategie;BSG;Du bewegst deinen Händler über ein modulares Spielfeld. Ressourcenmanagement und Timing sind entscheidend. Viele Wege zum Sieg.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Istanbul%20Big%20Box
Challengers;1;8;45;Deck Management;BSG;Du baust ein Deck und trittst automatisch in Duellen an. Kartenkombinationen sind entscheidend. Turnierstruktur sorgt für Abwechslung.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Challengers
Die Quacksalber von Quedlinburg;2;4;45;Push-your-luck;BSG;Du ziehst Zutaten aus deinem Beutel und braust Tränke. Zu viel Risiko lässt deinen Kessel explodieren. Spannung pur.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Die%20Quacksalber%20von%20Quedlinburg
Spielkarten Skat;2;4;45;Brettspiel;SPENDE;In Spielkarten Skat stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Spielkarten%20Skat
Heat;2;4;45;Brettspiel;BSG;In Heat stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/boardgame/366013/heat-pedal-to-metal
Kuhfstein;2;4;45;Brettspiel;BSG;In Kuhfstein stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Kuhfstein
Supernase;2;4;45;Brettspiel;SPENDE;In Supernase stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Supernase
Das Labyrinth der Meister;2;4;45;Brettspiel;SPENDE;In Das Labyrinth der Meister stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Das%20Labyrinth%20der%20Meister
Das verrückte Labyrinth;2;4;45;Brettspiel;SPENDE;In Das verrückte Labyrinth stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Das%20verr%C3%BCckte%20Labyrinth
Harry Potter DOG;2;4;45;Brettspiel;SPENDE;In Harry Potter DOG stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Harry%20Potter%20DOG
East India Companies;2;4;45;Brettspiel;BSG;In East India Companies stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=East%20India%20Companies
Terra Nova;2;4;45;Brettspiel;BSG;In Terra Nova stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Terra%20Nova
Tulpenfieber;2;4;45;Brettspiel;BSG;In Tulpenfieber stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Tulpenfieber
Claim it;2;4;45;Brettspiel;BSG;In Claim it stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Claim%20it
Maui;2;4;45;Brettspiel;BSG;In Maui stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Maui
Finstere Flure;2;4;45;Brettspiel;SPENDE;In Finstere Flure stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Finstere%20Flure
Ewiger Fluch Detektivspiel;2;4;45;Brettspiel;SPENDE;In Ewiger Fluch Detektivspiel stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Ewiger%20Fluch%20Detektivspiel
Way 2 go;2;4;45;Brettspiel;BSG;In Way 2 go stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Way%202%20go
Café del Gelato;2;4;45;Brettspiel;SPENDE;In Café del Gelato stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Caf%C3%A9%20del%20Gelato
Scout;2;4;45;Brettspiel;BSG;In Scout stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/boardgame/291453/scout
So Kleever;2;4;45;Brettspiel;BSG;In So Kleever stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=So%20Kleever
Robin Hood;2;4;45;Brettspiel;BSG;In Robin Hood stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Robin%20Hood
Great Western Trail, 2. Ed.;2;4;45;Brettspiel;BSG;In Great Western Trail, 2. Ed. stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Great%20Western%20Trail%2C%202.%20Ed.
7 Wonders Duell;2;4;45;Brettspiel;BSG;In 7 Wonders Duell stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/boardgame/173346/7-wonders-duel
Living Forest - Erweiterung Kodama;2;4;45;Brettspiel;BSG;In Living Forest - Erweiterung Kodama stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Living%20Forest%20-%20Erweiterung%20Kodama
Die Tavernen im tiefen Thal;2;4;45;Brettspiel;BSG;In Die Tavernen im tiefen Thal stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Die%20Tavernen%20im%20tiefen%20Thal
Exploding Kittens;2;4;45;Brettspiel;SPENDE;In Exploding Kittens stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Exploding%20Kittens
The Mind;2;4;45;Brettspiel;SPENDE;In The Mind stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=The%20Mind
Catch me!;2;4;45;Brettspiel;SPENDE;In Catch me! stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Catch%20me%21
Next Station London;2;4;45;Brettspiel;SPENDE;In Next Station London stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Next%20Station%20London
Flunkern;2;4;45;Brettspiel;SPENDE;In Flunkern stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Flunkern
Anno Domini;2;4;45;Brettspiel;SPENDE;In Anno Domini stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Anno%20Domini
Tension;2;4;45;Brettspiel;SPENDE;In Tension stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Tension
Take it easy;2;4;45;Brettspiel;SPENDE;In Take it easy stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Take%20it%20easy
Blox;2;4;45;Brettspiel;SPENDE;In Blox stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Blox
Letzter Auftritt Detektivspiel;2;4;45;Brettspiel;BSG;In Letzter Auftritt Detektivspiel stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Letzter%20Auftritt%20Detektivspiel
Sushi Go!;2;4;45;Brettspiel;SPENDE;In Sushi Go! stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Sushi%20Go%21
7 Wonders;2;4;45;Brettspiel;SPENDE;In 7 Wonders stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/boardgame/68448/7-wonders
Sky Team;2;4;45;Brettspiel;BSG;In Sky Team stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/boardgame/373106/sky-team
Australis;2;4;45;Brettspiel;BSG;In Australis stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Australis
Roaring 20s;2;4;45;Brettspiel;BSG;In Roaring 20s stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Roaring%2020s
Intarsia;2;4;45;Brettspiel;BSG;In Intarsia stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Intarsia
Harmonies;2;4;45;Brettspiel;BSG;In Harmonies stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Harmonies
Botanicus;2;4;45;Brettspiel;BSG;In Botanicus stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Botanicus
Punktestadt;2;4;45;Brettspiel;BSG;In Punktestadt stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Punktestadt
Chakra Erweiterung;2;4;45;Brettspiel;BSG;In Chakra Erweiterung stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Chakra%20Erweiterung
Tsuro;2;4;45;Brettspiel;BSG;In Tsuro stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/boardgame/16992/tsuro
Dune Rise of ix;2;4;45;Brettspiel;BSG;In Dune Rise of ix stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Dune%20Rise%20of%20ix
Arche Nova;2;4;45;Brettspiel;BSG;In Arche Nova stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/boardgame/342942/arche-nova
Dune Imperium;2;4;45;Brettspiel;BSG;In Dune Imperium stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/boardgame/316554/dune-imperium
Mischwald;2;4;45;Brettspiel;BSG;In Mischwald stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/boardgame/391163/mischwald
Grand Austria Hotel;2;4;45;Brettspiel;BSG;In Grand Austria Hotel stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/boardgame/182874/grand-austria-hotel
Mischwald Erweiterung Waldrand + Alpin;2;4;45;Brettspiel;BSG;In Mischwald Erweiterung Waldrand + Alpin stehen taktische Entscheidungen und effiziente Nutzung der Spielmechaniken im Vordergrund. Du reagierst auf wechselnde Spielsituationen und optimierst deine Strategie. Jede Partie verläuft durch unterschiedliche Optionen und Mitspieleraktionen anders.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Mischwald%20Erweiterung%20Waldrand%20%2B%20Alpin
